age,LOESS,LOESS_1D,LOESS_2D
470.3,0.70876943,,
469.702439,0.70876232,-1.18984E-05,
469.494103,0.70875985,-1.18558E-05,2.04087E-07
469.325262,0.70875787,-1.1727E-05,7.63078E-07
469.163175,0.708756,-1.1537E-05,1.17218E-06
469.028103,0.70875448,-1.12533E-05,2.10078E-06
468.043594,0.70874417,-1.04722E-05,7.93322E-07
466.790207,0.70873209,-9.63789E-06,6.65668E-07
465.308931,0.70871704,-1.01602E-05,-3.52584E-07
463.97,0.70870041,-1.24204E-05,-1.68806E-06
463.901667,0.70869947,-1.37562E-05,-1.95485E-05
463.56,0.7086953,-1.22049E-05,4.54038E-06
463.081667,0.70868975,-1.16028E-05,1.25869E-06
462.466667,0.70867993,-1.59675E-05,-7.09705E-06
461.010714,0.70865261,-1.87643E-05,-1.92098E-06
460.778571,0.70864665,-2.56738E-05,-2.97639E-05
460.635714,0.70864246,-2.933E-05,-2.55934E-05
460.35,0.70863259,-3.4545E-05,-1.82525E-05
460.242857,0.70862832,-3.98533E-05,-4.95436E-05
460.153571,0.70862481,-3.93119E-05,6.06373E-06
460.064286,0.70862151,-3.69603E-05,2.63379E-05
459.975,0.7086181,-3.81919E-05,-1.37937E-05
459.885714,0.70861428,-4.27839E-05,-5.14301E-05
459.242857,0.70858004,-5.32622E-05,-1.62997E-05
458.71,0.70854531,-6.5177E-05,-2.23601E-05
458.437,0.70852549,-7.26007E-05,-2.71933E-05
457.657,0.70846224,-8.10897E-05,-1.08833E-05
457.6258,0.70845952,-8.71795E-05,-0.000195184
457.4386,0.70844286,-8.89957E-05,-9.70213E-06
457.15,0.70841602,-9.30007E-05,-1.38772E-05
456.9355,0.70839527,-9.67366E-05,-1.74168E-05
456.8068,0.70838254,-9.89122E-05,-1.69044E-05
456.76,0.70837786,-1E-04,-2.32436E-05
456.565,0.70835805,-0.00010159,-8.15253E-06
456.37,0.70833771,-0.000104308,-1.39382E-05
455.083,0.70818968,-0.000115019,-8.32302E-06
454.498,0.70811433,-0.000128803,-2.35624E-05