age,sr,loess,se,min,max
454.498,0.708172873,0.708170305,1.76E-05,0.708134507,0.708206103
455.083,0.708146986,0.708220718,1.53E-05,0.708189555,0.708251881
456.37,0.70828446,0.708331789,1.09E-05,0.708309645,0.708353932
456.565,0.708337248,0.708348071,1.03E-05,0.708327057,0.708369086
456.76,0.708348205,0.708364089,9.81E-06,0.708344134,0.708384044
456.8068,0.708347308,0.708367915,9.69E-06,0.708348203,0.708387627
456.9355,0.708368124,0.708378572,9.38E-06,0.708359494,0.708397651
457.15,0.708458971,0.708396587,8.92E-06,0.708378434,0.708414739
457.4386,0.708490025,0.708420681,8.43E-06,0.708403529,0.708437833
457.6258,0.708489455,0.708435794,8.15E-06,0.708419216,0.708452372
457.657,0.70851196,0.708438262,8.10E-06,0.708421778,0.708454747
458.437,0.708533425,0.708500488,7.56E-06,0.7084851,0.708515876
458.71,0.708514369,0.708521689,7.65E-06,0.708506128,0.70853725
459.2428571,0.70858555,0.708560432,8.09E-06,0.708543971,0.708576893
459.8857143,0.708614595,0.708599682,8.94E-06,0.708581486,0.708617877
459.975,0.708611723,0.708604417,9.10E-06,0.708585894,0.70862294
460.0642857,0.708616887,0.708609092,9.27E-06,0.708590226,0.708627958
460.1535714,0.708612769,0.708613534,9.44E-06,0.708594333,0.708632734
460.2428571,0.708632888,0.708617568,9.59E-06,0.708598054,0.708637081
460.35,0.708617887,0.708621905,9.75E-06,0.708602062,0.708641747
460.6357143,0.708644363,0.708631782,9.95E-06,0.708611538,0.708652026
460.7785714,0.708665786,0.708635924,9.92E-06,0.708615747,0.708656101
461.0107143,0.708662463,0.708641737,9.72E-06,0.708621965,0.708661509
462.4666667,0.708658888,0.708669289,9.67E-06,0.708649604,0.708688974
463.0816667,0.708648704,0.708680046,1.02E-05,0.708659249,0.708700844
463.56,0.708701797,0.708686035,1.04E-05,0.708664845,0.708707225
463.9016667,0.70870789,0.70869061,1.08E-05,0.708668575,0.708712645
463.97,0.70869989,0.708691652,1.10E-05,0.708669364,0.70871394
465.3089308,0.708739891,0.708710522,1.17E-05,0.708686635,0.70873441
466.7902069,0.70872289,0.708728103,1.03E-05,0.708707136,0.70874907
468.0435945,0.708692889,0.708742173,1.06E-05,0.708720634,0.708763711
469.0281028,0.70872189,0.708753819,1.22E-05,0.708728926,0.708778712
469.1631754,0.70872089,0.708755507,1.25E-05,0.708730085,0.708780929
469.3252624,0.708812893,0.708757542,1.28E-05,0.70873147,0.708783614
469.4941031,0.708777892,0.70875965,1.32E-05,0.708732872,0.708786429
469.702439,0.708741891,0.708762243,1.36E-05,0.708734554,0.708789932
470.3,0.708800893,0.708769689,1.50E-05,0.708739242,0.708800137